customer_id,customer_name,sheet_client,serial_id,ttspl,serial,status,rate,rent_start,proposed_action
29,"Optimizing Resources Private Limited","Optimizing Resources Private Limited",1757,TTSPL2116,5CG524076V,rented,1450,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
29,"Optimizing Resources Private Limited","Optimizing Resources Private Limited",3662,TTSPL7032,5CG1426Z5F,rented,2700,2026-08-03,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
126,"DAWNSUN EXIM CORPORATION","Dawnsun Exim Corporation",20,TTSPL3254,PC0BBAAX,rented,1699,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
126,"DAWNSUN EXIM CORPORATION","Dawnsun Exim Corporation",22,TTSPL2441,5CD6223G6Y,rented,2090,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
126,"DAWNSUN EXIM CORPORATION","Dawnsun Exim Corporation",17,-,J4ZM622,rented,1850,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
126,"DAWNSUN EXIM CORPORATION","Dawnsun Exim Corporation",18,TRU730,5CG5111FSX,rented,1850,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
126,"DAWNSUN EXIM CORPORATION","Dawnsun Exim Corporation",21,TTSPL2769,2J776H2,rented,1699,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
126,"DAWNSUN EXIM CORPORATION","Dawnsun Exim Corporation",19,TRU1395,PC0C77TD,rented,1850,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
126,"DAWNSUN EXIM CORPORATION","Dawnsun Exim Corporation",15,TTSPL1265,9654N32,rented,2790,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
125,"Aamore solutions","Aamore Solutions",583,TTSPL4012,5CG5150YYT,rented,1450,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
125,"Aamore solutions","Aamore Solutions",584,TTSPL1470,6636YZ1,rented,1450,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
125,"Aamore solutions","Aamore Solutions",982,TTSPL2746,FF5NPF2,rented,1450,2026-05-08,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
125,"Aamore solutions","Aamore Solutions",586,TTSPL2609,48Z6FH2,rented,1450,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
52,"Nexthire LLP","Nexthire LLP",3807,TTSPL7148,B187YZ2,rented,1800,2026-06-09,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
42,"SUKHMAA SONS AND ASSOCIATES","SUKHMAA SONS AND ASSOCIATES",8286,,CN-05NT8R-PRC00-39K-06KF,rented,1,2026-07-17,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
42,"SUKHMAA SONS AND ASSOCIATES","SUKHMAA SONS AND ASSOCIATES",793,TTSPL2386,307X022,rented,799,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
42,"SUKHMAA SONS AND ASSOCIATES","SUKHMAA SONS AND ASSOCIATES",791,TTSPL2618,GC0KQ12,rented,799,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
42,"SUKHMAA SONS AND ASSOCIATES","SUKHMAA SONS AND ASSOCIATES",795,TTSPL3402,9GF4T72,rented,799,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
42,"SUKHMAA SONS AND ASSOCIATES","SUKHMAA SONS AND ASSOCIATES",796,TTSPL2323,B0B9Q72,rented,1399,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
42,"SUKHMAA SONS AND ASSOCIATES","SUKHMAA SONS AND ASSOCIATES",8285,,CN-05NT8R-PRC00-39K-06KG,rented,1,2026-07-17,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
38,"MANNA BIOTECH PRIVATE LIMITED","MANNA BIOTECH PRIVATE LIMITED",1774,TTSPL4095,1TZLHC2,rented,1099,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
130,"Aim Plus Staffing Solutions","Aim Plus Staffing Solutions",341,TTSPL4209,BMM57Y2,rented,1100,2026-06-25,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
33,"ERA BOTANICS PRIVATE LIMITED","Era Botanics private Limited",3386,TTSPL6320,H3PXVM3,rented,2299,2026-02-17,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
44,"SYNERGY SOFTWARES LIMITED","SYNERGY SOFTWARES LIMITED",606,TTSPL3993,1ZBDQ92,rented,1450,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
44,"SYNERGY SOFTWARES LIMITED","SYNERGY SOFTWARES LIMITED",2385,TTSPL5680,7YWXN73,rented,1700,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
92,"URBANLOGIX GLOBAL INDIA PRIVATE LIMITED","URBANLOGIX GLOBAL INDIA PRIVATE LIMITED",1798,TTSPL2341,1PJ3VF2,rented,899,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
92,"URBANLOGIX GLOBAL INDIA PRIVATE LIMITED","URBANLOGIX GLOBAL INDIA PRIVATE LIMITED",1803,TTSPL1045,GN9BQH2,rented,999,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
92,"URBANLOGIX GLOBAL INDIA PRIVATE LIMITED","URBANLOGIX GLOBAL INDIA PRIVATE LIMITED",1794,TTSPL1491,5CG64669TZ,rented,899,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
92,"URBANLOGIX GLOBAL INDIA PRIVATE LIMITED","URBANLOGIX GLOBAL INDIA PRIVATE LIMITED",1789,TTSPL2633,JC493G2,rented,899,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
92,"URBANLOGIX GLOBAL INDIA PRIVATE LIMITED","URBANLOGIX GLOBAL INDIA PRIVATE LIMITED",970,TTSPL4434,PF2C97SF,rented,999,2026-08-03,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
138,"Clanify Media Private Limited","Clanify Media Private Limited",3769,TTSPL6672-A,5GLZP13.,returned,0,2026-04-29,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
82,"RealVibe digital media pvt ltd","ClickOnik Digital Media Pvt Ltd",838,TTSPL4885,SCNRCX03X59651C,rented,4799,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
82,"RealVibe digital media pvt ltd","ClickOnik Digital Media Pvt Ltd",844,TTSPL5023,T4NRCX04U10418E,rented,4799,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
145,"COAL BEAUTY PRIVATE LIMITED","COAL BEAUTY PRIVATE LIMITED",2020,TTSPL2752,7X3HQC2,rented,1199,2026-04-27,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
145,"COAL BEAUTY PRIVATE LIMITED","COAL BEAUTY PRIVATE LIMITED",3028,TTSPL1053,3C4DQH2,rented,1199,2026-04-13,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
145,"COAL BEAUTY PRIVATE LIMITED","COAL BEAUTY PRIVATE LIMITED",723,TTSPL1007,DDK5ZM2,rented,1199,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
145,"COAL BEAUTY PRIVATE LIMITED","COAL BEAUTY PRIVATE LIMITED",3118,TTSPL1783,5CG5111XJY,rented,1199,2026-04-17,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
156,"Global Fashion Off Duty Limited","Global Fashion Off Duty Limited",8150,TTSPL7387,5CG0278CJB,rented,1399,2026-07-01,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
156,"Global Fashion Off Duty Limited","Global Fashion Off Duty Limited",8267,TTSPL7499,5CG0273WJ1,rented,1250,2026-07-24,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
185,"DROR SERVICES PRIVATE LIMITED","DROR SERVICES PRIVATE LIMITED",3161,TTSPL3781,6BQHDB3,rented,1999,2026-07-10,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
178,"MNR Solutions Pvt. Ltd.","MNR Solutions Pvt. Ltd.",8834,TTSPL7587,CGT2ZY2,rented,1600,2026-08-01,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
178,"MNR Solutions Pvt. Ltd.","MNR Solutions Pvt. Ltd.",8833,TTSPL7586,JVNXK13,rented,1600,2026-08-01,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
198,"ASL GLOBAL ADVISORS PRIVATE LIMITED","ASL GLOBAL ADVISORS PRIVATE LIMITED",3606,TTSPL6999,5CG3102NCF,rented,2399,2026-02-28,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
198,"ASL GLOBAL ADVISORS PRIVATE LIMITED","ASL GLOBAL ADVISORS PRIVATE LIMITED",9154,TTSPL6984_B,5CG2146Y91_B,rented,2399,2026-02-17,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
207,"CARRUM MOBILITY SOLUTIONS PRIVATE LIMITED","Carrum Mobility Solutions",3770,TTSPL6080-A,CSSS103.,returned,3321.43,2026-02-26,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
206,"ABJAYON CONSULTANCY PRIVATE LIMITED","Abjayon Consultancy Pvt. Ltd.",3765,TTSPL6559_B,5CD112LTG0_B,rented,2198,2026-05-15,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
206,"ABJAYON CONSULTANCY PRIVATE LIMITED","Abjayon Consultancy Pvt. Ltd.",2755,TTSPL6058,H7ZYJG3,rented,0.77,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
230,"The Class One/ Inventify Edtech solution Pvt. Ltd","The Class One/ Inventify Edtech solution Pvt. Ltd",2973,TTSPL1777,MP1H36UJ,rented,1100,2026-03-18,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
251,"EVERSOFT TECHNOLOGIES PRIVATE LIMITED","EVERSOFT TECHNOLOGIES PRIVATE LIMITED",3761,TTSPL2016_B,CJNL7S2_B,rented,1199,2026-03-27,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
255,"Amar Amba Finance Hire Purchase Private Limited","AMAR AMBA FINANCE HIRE PURCHASE PRIVATE LIMITED",3391,TTSPL6080,CSSS103,rented,1500,2026-03-21,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
256,"SPNN BUSINESS SERVICES PRIVATE LIMITED","SPNN BUSINESS SERVICES PRIVATE LIMITED",3472,TTSPL6663,33P5V93,returned,0.23,2026-03-23,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
261,"SHINENPRIME HEALTHCARE PRIVATE LIMITED","SHINENPRIME HEALTHCARE PRIVATE LIMITED",9156,TTSPL6671_B,GLSZP13_B,rented,999,2026-03-27,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
261,"SHINENPRIME HEALTHCARE PRIVATE LIMITED","SHINENPRIME HEALTHCARE PRIVATE LIMITED",3763,TTSPL6676_B,3T2FL13_B,rented,999,2026-03-27,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
261,"SHINENPRIME HEALTHCARE PRIVATE LIMITED","SHINENPRIME HEALTHCARE PRIVATE LIMITED",3148,TTSPL1055,90TBQH2,rented,999,2026-03-27,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
211,"Maxlence Digital (OPC) Private Limited","Maxlence Digital (OPC) Private Limited",83,TTSPL4614,DV4FYD3,rented,5000,2026-07-02,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
72,"PARTS AVATAR INDIA PRIVATE LIMITED","Parts Avatar India Pvt. Ltd.",2284,TTSPL2165,HQZWMF2,rented,1250,2026-04-15,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
72,"PARTS AVATAR INDIA PRIVATE LIMITED","Parts Avatar India Pvt. Ltd.",2791,TTSPL5485,5LQYVZ2,rented,1250,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
72,"PARTS AVATAR INDIA PRIVATE LIMITED","Parts Avatar India Pvt. Ltd.",517,TTSPL5205,PF1C3MSC,rented,1250,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
72,"PARTS AVATAR INDIA PRIVATE LIMITED","Parts Avatar India Pvt. Ltd.",2031,TTSPL1973,C4TDTQ2,rented,1250,,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
72,"PARTS AVATAR INDIA PRIVATE LIMITED","Parts Avatar India Pvt. Ltd.",439,TTSPLGR0127,J2WN8S2,rented,1250,,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
72,"PARTS AVATAR INDIA PRIVATE LIMITED","Parts Avatar India Pvt. Ltd.",2787,TTSPL5438,HQQHWZ2,rented,1250,2026-04-29,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
72,"PARTS AVATAR INDIA PRIVATE LIMITED","Parts Avatar India Pvt. Ltd.",3274,TTSPL5202,PF21YM59,rented,1250,2026-04-29,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
72,"PARTS AVATAR INDIA PRIVATE LIMITED","Parts Avatar India Pvt. Ltd.",2228,TTSPL1967,3B5QNV2,rented,1250,2026-04-29,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
72,"PARTS AVATAR INDIA PRIVATE LIMITED","Parts Avatar India Pvt. Ltd.",3370,TTSPL2174,FJN46S2,rented,1250,2026-04-10,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
72,"PARTS AVATAR INDIA PRIVATE LIMITED","Parts Avatar India Pvt. Ltd.",857,TTSPL3305,PF1LSK4P,rented,1250,2026-04-08,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
72,"PARTS AVATAR INDIA PRIVATE LIMITED","Parts Avatar India Pvt. Ltd.",524,TTSPL5206,PF21YSKT,rented,1250,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
72,"PARTS AVATAR INDIA PRIVATE LIMITED","Parts Avatar India Pvt. Ltd.",2793,TTSPL5487,8VHB103,rented,1250,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
72,"PARTS AVATAR INDIA PRIVATE LIMITED","Parts Avatar India Pvt. Ltd.",2779,TTSPL5377,3K2VVZ2,rented,1250,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
72,"PARTS AVATAR INDIA PRIVATE LIMITED","Parts Avatar India Pvt. Ltd.",521,TTSPL5313,90TVNT2,rented,1250,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
72,"PARTS AVATAR INDIA PRIVATE LIMITED","Parts Avatar India Pvt. Ltd.",659,TTSPL4050,3RY3L13,rented,1250,2026-04-09,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
72,"PARTS AVATAR INDIA PRIVATE LIMITED","Parts Avatar India Pvt. Ltd.",523,TTSPL4959,PC1GXJ1K,rented,1250,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
72,"PARTS AVATAR INDIA PRIVATE LIMITED","Parts Avatar India Pvt. Ltd.",516,TTSPL5199,PC1GXG2V,rented,1250,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
72,"PARTS AVATAR INDIA PRIVATE LIMITED","Parts Avatar India Pvt. Ltd.",519,TTSPL5207,PC164BFD,rented,1250,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
72,"PARTS AVATAR INDIA PRIVATE LIMITED","Parts Avatar India Pvt. Ltd.",526,TTSPL2728,37XZRQ2,rented,1250,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
72,"PARTS AVATAR INDIA PRIVATE LIMITED","Parts Avatar India Pvt. Ltd.",2781,TTSPL5420,BV98103,rented,1250,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
72,"PARTS AVATAR INDIA PRIVATE LIMITED","Parts Avatar India Pvt. Ltd.",2790,TTSPL5482,9PQHWZ2,rented,1250,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
72,"PARTS AVATAR INDIA PRIVATE LIMITED","Parts Avatar India Pvt. Ltd.",3008,TTSPL3366,5CD942H5FH,rented,1250,2026-04-08,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
72,"PARTS AVATAR INDIA PRIVATE LIMITED","Parts Avatar India Pvt. Ltd.",1006,TTSPL4904,CFLLVT2,rented,1250,2026-06-11,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
72,"PARTS AVATAR INDIA PRIVATE LIMITED","Parts Avatar India Pvt. Ltd.",2901,TTSPL3512,2JVX6S2,rented,1900,2026-05-21,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
72,"PARTS AVATAR INDIA PRIVATE LIMITED","Parts Avatar India Pvt. Ltd.",1190,TTSPL3983,13N1SN2,rented,1250,2026-04-29,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
72,"PARTS AVATAR INDIA PRIVATE LIMITED","Parts Avatar India Pvt. Ltd.",1606,TTSPL3769,469YZM2,rented,1250,2026-04-17,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
72,"PARTS AVATAR INDIA PRIVATE LIMITED","Parts Avatar India Pvt. Ltd.",2796,TTSPL5481,9PJYVZ2,rented,1250,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
72,"PARTS AVATAR INDIA PRIVATE LIMITED","Parts Avatar India Pvt. Ltd.",2780,TTSPL5380,FF0C103,rented,1250,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
72,"PARTS AVATAR INDIA PRIVATE LIMITED","Parts Avatar India Pvt. Ltd.",527,TTSPL3338,7ZJM1Z2,rented,1250,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
72,"PARTS AVATAR INDIA PRIVATE LIMITED","Parts Avatar India Pvt. Ltd.",2785,TTSPL5432,GN5C103,rented,1250,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
72,"PARTS AVATAR INDIA PRIVATE LIMITED","Parts Avatar India Pvt. Ltd.",520,TTSPL5263,PF26Y73T,rented,1250,2026-02-06,EXCLUDE_FROM_AUG_INVOICE_KEEP_IN_BUCKET
