Title*,Assign to*,Task type,Due date*,Due time*,Priority,Project,Description
Credit notes merge by customer and billing month,Nurshid (Tech Team),New Feature,2026-09-07,16:34,HIGH,Rentfoxxy CRM,"Completed 7 Sep 2026. Merged pending return CNs into one draft per customer per to_date month. Aug and Sep stay separate. List month/year filter. View after Sep filter no longer shows all laptops. Cancelled CNs hidden unless filtered."
Return DC config match after Guard inward,Nurshid (Tech Team),New Feature,2026-09-07,15:59,HIGH,Rentfoxxy CRM,"Completed 7 Sep 2026. After Guard scan, warehouse runs the same QC2/Dispatch QC script before e-sign. Tokens on /rdc-config-match. Warehouse blocked until verified. Migrations 227 (rdc_config_capture) and 230 (return_laptop_condition)."
RDC detail API no longer polls and heals on GET,Nurshid (Tech Team),Requirement,2026-09-07,16:55,HIGH,Rentfoxxy CRM,"Completed 7 Sep 2026. GET /return-dc/:id/detail was reminting tokens and regenerating PDF while the modal polled every 5s. GET is read-only now. Modal loads once and silent-refreshes every 20s with in-flight dedupe."
RDC ON / Not ON receive + copy script on HTTP,Nurshid (Tech Team),New Feature,2026-09-07,17:08,HIGH,Rentfoxxy CRM,"Completed 7 Sep 2026. rdc-config-match asks ON or Not ON. ON runs the script. Not ON types the matching serial. Copy uses clipboard fallback so HTTP QA works. Migration 228 renamed to 230 so it does not clash with production 228."
Return DC list Redis cache and SQL speed,Nurshid (Tech Team),Requirement,2026-09-07,17:18,HIGH,Rentfoxxy CRM,"Completed 7 Sep 2026. Started redis-server on QA. List/stats cached. SQL cut from five pickup scans to two. Exact RDC search uses equals. Cold ~72ms, Redis hit ~2ms. Migration 229 (return_dc_list_speed)."
PO vendor-repair replacements do not inflate received qty,Nurshid (Tech Team),Bug,2026-09-07,17:38,HIGH,Rentfoxxy CRM,"Completed 7 Sep 2026. Unlined vendor_repair_replacement serials were dumped onto line 1 (PO-0162 showed Received 6 on qty 5). Replacements excluded from received/remaining. View shows OLD -> NEW Replacement on PO, GRN, and serial pages (e.g. TTSPL7544 -> TTSPL7551)."
Master Data with-customer deployment KPIs,Nurshid (Tech Team),New Feature,2026-09-07,10:30,HIGH,Rentfoxxy CRM,"Completed 7 Sep 2026. Added Rental / Sold / In transit / Demo KPI cards on master-data; clickable filters; removed duplicate With Customers card; simplified labels."
Master Data value KPIs ex-GST from SO rate only,Nurshid (Tech Team),Bug,2026-09-07,11:00,HIGH,Rentfoxxy CRM,"Completed 7 Sep 2026. Removed Sale Laptops and Rental Laptops cards. Total Sale Value and Monthly Rental Value use SO line rate (ex. GST) for sold and rented units only."
Master Data rental count excludes legacy out_stock,Nurshid (Tech Team),Bug,2026-09-07,11:30,HIGH,Rentfoxxy CRM,"Completed 7 Sep 2026. Rental KPI counts rented only (3043), not legacy out_stock (95). Monthly rental value aligned to ₹71,87,506 ex. GST."
Customer Assets On Rent count matches Master Data,Nurshid (Tech Team),Bug,2026-09-07,11:45,HIGH,Rentfoxxy CRM,"Completed 7 Sep 2026. Tab badge showed 3138 (rented + out_stock) but list filtered to 3043. Badge now counts rented only to match Master Data."
BlueDart AWB manual tracking section and permission,Nurshid (Tech Team),New Feature,2026-09-07,12:58,HIGH,Rentfoxxy CRM,"Completed 7 Sep 2026. Separate BlueDart AWB tracking page: type AWB manually or track from DC courier integration. Added bluedart_awb_tracking role permission (migration 226)."
RDC warehouse e-signed but receive pending audit,Nurshid (Tech Team),Requirement,2026-09-07,13:40,HIGH,Rentfoxxy CRM,"Completed 7 Sep 2026. Counted delivered + Receive pending RDCs with warehouse e-sign on PDF. Found 231 with esign; 22 matched exact list logic needing backfill."
RDC warehouse receive backfill on e-sign date,Nurshid (Tech Team),Bug,2026-09-07,13:46,HIGH,Rentfoxxy CRM,"Completed 7 Sep 2026. Backfilled 22 RDCs: marked warehouse received using warehouse e-sign date from PDF, not today. Inventory moved off customer silently."
TTSPL timeline no fake current-date after backfill,Nurshid (Tech Team),Bug,2026-09-07,14:56,HIGH,Rentfoxxy CRM,"Completed 7 Sep 2026. Backfill had added timeline entries on today. Cleaned 22 audit rows; delivered events now use delivered_at; backfill script no longer bumps updated_at or calls markReturned."
TTSPL History date format DD-MM-YYYY,Nurshid (Tech Team),Bug,2026-09-07,15:01,NORMAL,Rentfoxxy CRM,"Completed 7 Sep 2026. TTSPL History drawer and modal now show dates as DD-MM-YYYY with time (e.g. 04-09-2026, 08:40:53 PM IST)."
Return DC export laptops respects all filters,Nurshid (Tech Team),Bug,2026-09-07,15:20,HIGH,Rentfoxxy CRM,"Completed 7 Sep 2026. Export laptops on Return DC list now passes date, status, warehouse, technician, and column filters (cf_status, cf_warehouse) — not just visible page rows."
Return DC Excel export Warehouse Status column,Nurshid (Tech Team),New Feature,2026-09-07,15:46,HIGH,Rentfoxxy CRM,"Completed 7 Sep 2026. Added Warehouse Status (Receive pending / Received) and Warehouse Received Date columns to Return DC laptop Excel export."
Migration 226 conflict resolve BlueDart vs credit note,Nurshid (Tech Team),Requirement,2026-09-07,16:42,HIGH,Rentfoxxy CRM,"Completed 7 Sep 2026. run-migration-226.js kept for bluedart_awb_tracking permission. Credit note line items renamed to migration 228 with new run script."
Run pending production migrations 227 to 230,Nurshid (Tech Team),Requirement,2026-09-07,17:26,HIGH,Rentfoxxy CRM,"Completed 7 Sep 2026. Applied 227 (rdc_config_capture), 228 (credit_note_line_items), 229 (return_dc_list_speed), 230 (return_laptop_condition) on production."
Support pickup always show courier dispatch details,Nurshid (Tech Team),Bug,2026-09-07,18:12,HIGH,Rentfoxxy CRM,"Completed 7 Sep 2026. T-2726 courier mode hid name/AWB when empty. Pickup card always shows Courier dispatch block; falls back to Return DC fields; Support Lead can add missing courier name + AWB before gate inward."
